"";"baseMean";"log2FoldChange";"lfcSE";"pvalue";"padj"
"COL4A6";1119,16190845888;-1,6952215920914;0,145781701324013;1,30207945271703e-32;5,28969777666294e-30
"PLPPR1";104,811948691407;1,68053473340872;0,459512628476899;1,03415746975777e-05;5,25021365797356e-05
"GLOD5";7,31807032882722;1,68015992001322;0,561671195936449;7,27775540660628e-05;0,000315159294756435
"ISX";109,232209439381;1,66984412821035;0,372854304489787;1,59853746952121e-07;1,11765796542358e-06
"MARCHF11";21,0457480472655;1,66821733703399;0,704203182111216;0,000334097097179924;0,00126971221886738
"SMKR1";25,7724301173904;1,66627218822758;0,350853156443089;1,0409914061331e-07;7,49329362111316e-07
"JPH4";787,284141858065;-1,66471965859557;0,156307798013805;8,12409628761007e-28;1,42720610458015e-25
"CYP3A5";1641,99211587795;-1,66312789424365;0,15007626842097;2,42523503554078e-30;6,75601188472075e-28
"SPINK8";11,5835522872162;1,66217421936426;0,468036409470553;1,67633827853982e-05;8,16053505900452e-05
"RNF157";439,88728199873;1,66182286267942;0,202811609509033;1,63230000557007e-17;4,9820392287471e-16
"NKX2-3";37,136671085849;1,66152733995598;0,676302281490812;7,03400317031954e-05;0,000305213755721476
"FABP5";534,066027528944;1,65857400833191;0,253678354204002;1,97779552863507e-13;3,50609207348944e-12
"NUDT8";235,259818993131;1,65839046497132;0,244669675819561;4,58792850248372e-13;7,6400175745886e-12
"NRK";774,767427170967;-1,65563952541626;0,174312056338753;1,29660375974018e-22;8,87149940874859e-21
"TERT";88,7004246279647;1,65383000371541;1,03284502681018;0,000419469213574832;0,00155595390236051
"LGR6";178,890860023293;-1,64867490391255;0,271800914695081;1,50317893045135e-11;1,971216485797e-10
"NPY4R";268,115689523735;1,64483746035115;0,277272674839237;1,17665203399177e-10;1,34022866021258e-09
"GPR160";1753,07969380113;1,64326090085389;0,129388068174508;5,01404286965833e-38;4,44426527083352e-35
"CYP4B1";352,925680675489;-1,64315360645388;0,219905424323367;3,24027949518385e-15;7,37286466232032e-14
"RBFOX3";981,240889627932;-1,63791855449955;0,169859133639271;2,74535041056157e-23;2,13284195242831e-21
"KRT15";3190,22530386311;-1,63582219578252;0,254330955616984;2,93123870897969e-12;4,29122783972251e-11
"SLC14A1";2595,63773100606;-1,63044387988275;0,17191030578129;1,16918025057264e-22;8,05618900571256e-21
"HTR4";52,7443416625863;1,62626099215607;0,422997577112999;2,70927254730945e-06;1,54025698753744e-05
"TMEFF2";4553,36654796763;1,62445009009726;0,240346340155759;8,71408115612796e-13;1,38827273320666e-11
"ORM1";1469,33105666089;-1,62370780888355;0,822544062163533;0,000987463005200823;0,00337520220883717
"PATE4";75,1914083377266;1,62237317170167;0,259944687514428;1,61369788456397e-11;2,09920672108055e-10
"NTF4";103,84231834436;-1,62166376936876;0,246854167298548;2,93492137145745e-12;4,2933958547202e-11
"SFTPA2";1514,35038462925;1,62091055097126;0,313684702890855;4,53673061656312e-09;4,03218992812128e-08
"PODXL2";1165,00530396514;1,61582137271149;0,110321071177775;1,75663264392318e-49;6,85086731130039e-46
"NPY4R2";236,716217810526;1,61558489967662;0,276504687503029;1,95670459091776e-10;2,13997417402671e-09
"DEFB1";23,7496071760962;-1,61446457807132;0,458391358914569;1,86852854096443e-05;9,01888775960553e-05
"LRRC31";189,278070370115;1,61436210022256;0,515699709765764;6,82327171145751e-05;0,000297041006851686
"TGFB3";2913,7933156724;-1,61360693072202;0,166002609496661;1,29015968576461e-23;1,05706360808445e-21
"SMPDL3B";266,001550338853;1,61224795950055;0,190703860156409;2,31563861938521e-18;8,09228549785154e-17
"CRIP3";92,0960925181747;-1,61191750197951;0,216548789246562;3,89214091895371e-15;8,73380298269245e-14
"APOF";74,0023265666963;1,6059178417533;0,316237908871027;2,39395542242222e-08;1,89687650293512e-07
"COMP";659,804235280754;1,60531499567812;0,294535030753003;2,42910470723599e-09;2,2642228389628e-08
"PPARGC1A";632,554960855754;-1,60359830700535;0,17630197417934;2,38152586964894e-21;1,36990426130249e-19
"COL17A1";951,011672377121;-1,60269762486906;0,179470198139613;2,38722547212987e-20;1,15510909941768e-18
"CKM";144,106331013528;-1,60092380859242;0,428193683036742;9,31914562309373e-06;4,78219314869283e-05
"DAZ2";15,5504876113672;1,60056440331211;0,478365033045127;3,06281590699119e-05;0,000142066865333797
"LDB3";1548,01210784383;-1,59634340266635;0,150309323435972;1,63128943359931e-27;2,67312134077198e-25
"HOXD11";325,479306004706;-1,59623829634414;0,195187179389094;1,25381168380271e-17;3,93708982836599e-16
"TP63";1464,91848981394;-1,59519224326419;0,179898031943748;4,5112416939794e-20;2,07965042630256e-18
"TPX2";119,413310682572;1,59494565867802;0,324306063206791;5,25859798562504e-08;3,96376732584802e-07
"ARHGEF38";3570,8775775919;1,59450098534041;0,115101655544952;1,77353950607351e-44;3,14400185167576e-41
"TBX5";201,724013974734;-1,59035343647484;0,245257552164277;3,22742307490773e-12;4,69312080243853e-11
"TDRD6";889,889885567391;1,58850689713943;0,156745289749955;2,6096884139886e-25;2,82716244848765e-23
"SI";272,774687206525;1,58765790384976;0,516413508622345;9,62922730753716e-05;0,000408018106251575
"CRYBA2";28,1938547907556;1,5865474536748;0,467729685449015;3,41781388974303e-05;0,000157261375294925
"DNAJC22";149,075255216375;1,58651977883363;0,319528637067582;3,15386066561351e-08;2,45558451648567e-07
"PATE3";37,3788507380802;1,58421429881175;0,426791443606357;9,09948545532995e-06;4,67809033427192e-05
"TRIM29";1880,83951244046;-1,57957568839641;0,18708445878444;9,91824866145892e-19;3,69095131485589e-17
"PGM5";6285,96497603474;-1,57868035735796;0,135094153852655;8,27316146273101e-33;3,43248188347351e-30
"NEFH";16098,4301698771;-1,57774878460855;0,256239200800487;6,62417053632931e-12;9,16108691194479e-11
"FEV";155,588015121142;1,5767535541735;0,260244453638517;6,25427043281328e-11;7,48210266502202e-10
"LURAP1";150,943959427244;-1,5740013568905;0,162405688830245;1,68272744401566e-23;1,35591674207873e-21
"NETO2";266,354974739909;1,57392974695171;0,209062928849886;2,23119337738489e-16;5,82440038273163e-15
"TMEM132C";279,524554374681;-1,57367441066312;0,171991309447027;1,94563369256028e-21;1,13253304492315e-19
"HIF3A";862,343416373867;-1,57311426518242;0,188777601534149;4,91694889795315e-18;1,61274850995873e-16
"ATP1A2";1544,47299488429;-1,57292390125143;0,140920521992474;3,30723360730767e-30;9,08324723133798e-28
"TCEAL2";447,16745440583;-1,57241189066507;0,139151470943627;9,00851733909438e-31;2,58332482518148e-28
